Compound,SMILES,Category,0.4,0.3,0.5,0.45,0.48,1.1,0.7
9083528,O=C(NCc1cccnc1)c1ccccc1NS(=O)(=O)Cc1ccccc1F,Questionable,57,182,88,89,74.0,1.0,1
9093687,CCSc1nnc(NC(=O)c2c(CC)noc2C)s1,Fluorescent,873,1264,154,194,188.0,1.0,1
7701643,COC(=O)c1ccccc1N(C)S(=O)(=O)c1ccc(C)cc1,Questionable,306,1263,7,95,34.0,1.0,1
9084879,O=S(=O)(Cc1ccc(F)cc1)NCCC1=CCCCC1,Questionable,872,1262,502,669,565.0,1.0,25
5453541,CCOC(=O)N1CCC(N2CCN(c3ccc(F)cc3)CC2)CC1,Questionable,871,1261,150,668,166.0,1.0,2
5722441,CCOc1ccc(N(CC(=O)Nc2ccc(Br)cc2)S(C)(=O)=O)cc1,Questionable,9,18,9,7,6.0,1.0,2
6578154,COc1ccc(CN2CCC(C(=O)NCCc3ccccc3)CC2)c(OC)c1,Questionable,223,1260,58,37,44.0,1.0,2
6427302,CCOc1ccc(N2C(=O)CC(NCC3CCCCC3)C2=O)cc1,Fluorescent,27,20,33,38,35.0,1.0,1
5838216,O=C(Cc1ccccc1)N1CCN(C(=O)c2cccc(F)c2)CC1,Fluorescent,870,1259,501,667,564.0,1.0,2
7986370,CCOc1ccc(S(=O)(=O)NCc2ccncc2)cc1C,Hit,114,60,11,29,15.0,1.0,3
9011902,COC(=O)c1ccc(OCC(=O)NC(C)c2ccccc2)cc1,Questionable,397,1258,235,332,242.0,1.0,2
6577816,O=C(NCc1ccco1)C1CCN(Cc2cccc3ccccc23)CC1,Fluorescent,154,225,58,173,44.0,1.0,5
6383348,Cc1ccc(NC(=O)CN(c2ccc(F)cc2)S(C)(=O)=O)cc1Cl,Questionable,9,18,9,7,6.0,1.0,1
9105960,c1coc(CSc2ncnc3c2oc2ccccc23)c1,Questionable,320,253,167,342,378.0,1.0,1
9082108,CC(Sc1ccc(Cl)cc1)C(=O)Nc1ccncc1,Questionable,869,1257,500,666,563.0,1.0,43
6602316,O=C(NCCNC1=NS(=O)(=O)c2ccccc21)c1cccc(Br)c1,Questionable,868,1256,499,665,562.0,1.0,1
9088777,CC(Oc1cccc(Cl)c1)C(=O)N1CCN(Cc2ccco2)CC1,Questionable,389,332,176,304,313.0,1.0,2
9077874,CCOC(=O)C1C(=O)Nc2nc3ccccc3n2C1c1cccs1,Fluorescent,300,1255,1,1,1.0,1.0,1
7578108,O=C(CSc1nnnn1-c1ccc(O)cc1)Nc1ccc(F)cc1,Questionable,305,269,263,279,263.0,1.0,1
6154929,CCCc1nnc(NC(=O)C(C)Oc2ccc(OC)cc2)s1,Hit,253,165,271,290,275.0,1.0,15
7721793,COc1ccc(C(=O)Nc2ccc(N3CCN(S(C)(=O)=O)CC3)cc2)cc1,Questionable,867,1254,50,106,110.0,1.0,2
7861477,CC(=O)Nc1ccc2nc(NC(=O)c3ccco3)sc2c1,Questionable,866,1253,264,664,266.0,1.0,1
9151432,Cc1cc(C(=O)CSc2ncc(C#N)c(N)n2)c(C)n1C1CC1,Questionable,237,318,141,215,158.0,1.0,1
9115790,CCc1cccc(C)c1NC(=O)CN1CCC(C(N)=O)CC1,Questionable,222,1252,123,175,89.0,1.0,2
9129277,CC(=O)Nc1cccc2ccc(OCC(=O)N3CCc4ccccc43)cc12,Questionable,379,320,193,378,77.0,1.0,1
9132166,CCOc1ccccc1NC(=O)C(C)Sc1nc2c(c(=O)[nH]1)CCCC2,Fluorescent,35,13,72,67,78.0,1.0,1
9192367,O=c1[nH]c(N2CCCCC2)nc2nccc(-c3ccco3)c12,Hit,112,404,205,330,310.0,1.0,1
7294900,Cc1cccc(OCC(=O)Nc2ccccc2N2CCOCC2)c1,Fluorescent,865,1251,161,25,252.0,1.0,2
6578232,COCCNC(=O)C1CCN(Cc2ccc(F)cc2)CC1,Fluorescent,187,1250,58,37,44.0,1.0,5
7734297,CCC(=O)N1CCN(c2ccc(NC(=O)COc3ccccc3)cc2)CC1,Questionable,156,1249,52,98,80.0,1.0,2
7741242,COc1cccc(C(=O)N2CCCc3ccccc32)c1OC,Questionable,109,1248,25,174,96.0,1.0,1
6689077,NC(=O)C1CCN(S(=O)(=O)Cc2ccccc2)CC1,Fluorescent,37,48,59,71,69.0,1.0,16
9198206,O=S(=O)(c1ccc(-c2ccno2)s1)N1CCOCC1,Questionable,864,1247,498,663,561.0,1.0,1
9136945,Br.CCOC(=O)c1oc2ccc(Cl)cc2c1CNc1cnccn1,Fluorescent,374,316,320,373,340.0,1.0,1
6519396,O=S(=O)(Nc1ccc(Cc2ccncc2)cc1)c1ccc(Cl)cc1,Questionable,51,1246,2,2,2.0,1.0,4
7553744,O=C(COc1ccccc1)Nc1ccc(CN2CCOCC2)cc1,Questionable,20,43,14,34,25.0,1.0,2
9127538,CN(CC(=O)Nc1ccc(O)cc1)S(=O)(=O)c1ccc(Cl)cc1,Hit,67,236,13,43,21.0,1.0,2
6957469,Cc1ccc(S(=O)(=O)NCc2ccncc2)c(C)c1C,Questionable,114,60,11,29,135.0,1.0,3
9119297,Cc1cc(C(=O)Cn2cnc3ccccc32)c(C)n1Cc1ccco1,Hit,161,82,250,216,200.0,1.0,1
5857242,O=S(=O)(Nc1ccc(F)cc1)c1ccc2c(c1)OCCO2,Hit,2,4,2,2,2.0,1.0,3
6581799,O=C(NCc1ccco1)C1CCN(Cc2ccccc2Cl)CC1,Questionable,154,225,58,173,44.0,1.0,5
7737080,CCC(=O)N1CCN(c2ccc(NC(=O)c3ccccc3)cc2)CC1,Hit,155,226,22,106,110.0,1.0,2
7116950,COc1ccc(N2CCN(C(=O)CCn3cnc4ccccc4c3=O)CC2)cc1,Questionable,52,129,40,64,51.0,1.0,1
7583420,COc1ccc(C2CC(C(F)(F)F)n3nc(C(N)=O)cc3N2)cc1OC,Questionable,296,214,1,1,1.0,1.0,1
6581686,Cc1ccc(CN2CCC(C(=O)NCc3ccco3)CC2)cc1,Fluorescent,154,225,58,37,44.0,1.0,5
5573317,Cc1ccc(S(=O)(=O)Nc2ccc(F)c(F)c2)cc1,Hit,19,85,2,2,2.0,1.0,4
9151999,CCOC(=O)c1cccc(NS(=O)(=O)c2ccc3c(c2)OCCO3)c1,Questionable,6,4,2,28,2.0,1.0,1
9209671,Cc1ccc(C(=O)N2CCN(c3ccc(C)nn3)CC2)c(C)c1,Questionable,153,1245,93,84,134.0,1.0,1
9206952,O=C(CCn1nnc2ccccc2c1=O)N1CCN(c2ccccc2)CC1,Questionable,863,1244,207,64,75.0,1.0,1
9202962,CCNc1cc(N2CCN(C(=O)c3ccccc3OC)CC2)nc(C)n1,Questionable,12,128,5,10,7.0,1.0,1
9204559,Cc1cc(C(=O)Nc2ccc(F)cc2F)ccc1N(C)S(C)(=O)=O,Fluorescent,81,317,32,54,45.0,1.0,1
9207963,CCOc1cc(C)c(C)cc1S(=O)(=O)Nc1ccccn1,Fluorescent,64,289,42,56,41.0,1.0,1
9209399,COc1ccc(F)cc1S(=O)(=O)NCCCN1CCc2ccccc2C1,Fluorescent,99,1243,3,4,3.0,1.0,1
9206598,O=C1c2ccccc2C(=O)N1CCc1nn2c(CN3CCCCC3)nnc2s1,Questionable,121,399,82,121,98.0,1.0,1
9209672,O=C1NC(=O)c2ccc(N3CCOCC3)c3cccc1c23,Fluorescent,862,1242,236,331,312.0,1.0,1
9206955,O=c1cc(O)c2sc3nc(-c4ccc5c(c4)OCO5)ccc3c2[nH]1,Fluorescent,439,396,1,426,1.0,1.0,1
9210342,CNC(=O)c1ccc(NC(=O)c2cccc(Cl)c2)cc1,Questionable,861,1241,14,166,155.0,1.0,2
9203747,CN(CC(=O)Nc1ccc(F)c(Cl)c1)S(C)(=O)=O,Questionable,860,1240,206,662,211.0,1.0,17
9208355,O=C(NCc1ccc(F)cc1)c1cc(-c2ccc(O)cc2)on1,Hit,28,50,25,27,28.0,1.0,1
9208566,COc1cc(C(=O)N2CCN(c3ccc(C)nn3)CC2)cc(OC)c1OC,Fluorescent,153,1239,5,84,7.0,1.0,1
