Plate,Col,Row,Compound,SMILES
1,22,B,74170026,CCc1cc(N2CCN(Cc3cccc(OC)c3)C(=O)C2)n2nccc2n1
1,23,B,27341005,CO[C@H]1C[C@@H](O)C12CCN(C(=O)c1ccc3c(c1)ncn3C)CC2
1,24,B,24847240,O=C(c1ccc(O)cc1)N1CCC2(CCC(=O)N(C3CCCC3)C2)CC1
1,25,B,90484247,CSc1ncccc1C(=O)N1CCc2c(nc(N(C)C)[nH]c2=O)C1
1,26,B,66801180,Cc1ccc(CN2CCN(c3noc(-c4ccccc4)n3)CC2=O)cc1C
1,27,B,82845808,COc1ccccc1OCc1cc(C(=O)N(C)Cc2cnn(C)c2)no1
1,28,B,81779736,COc1ccc2c(c1)C(C(=O)N(C)Cc1cnc3ccccc3c1)CC(=O)N2
1,29,B,23875037,Cc1ccc2nc(C)c(C)c(C(=O)N3CCN(c4nccs4)CC3)c2c1
1,30,B,28201494,CNC(=O)CCC(=O)NCc1cc2c(nc1OC)CN(C1CCCC1)C2=O
1,31,B,14782878,Cc1ncsc1CCC(=O)NC[C@H]1CCc2ccccc2O1
1,32,B,79866750,Cc1n[nH]c(SCCNC2CCN(c3nc(C)nc4sccc34)CC2)n1
1,33,B,42556314,O=C(Cn1ncc2ccccc2c1=O)NC1C=CS(=O)(=O)C1
1,34,B,83966163,CSc1ncc(CNC(=O)c2ccc(S(N)(=O)=O)cc2)n1C
1,35,B,55026109,COc1ccc(C(=O)N2CCN(C(=O)c3ccc(C(C)C)[nH]c3=O)CC2)cc1
1,36,B,55996026,Cc1ccc(OCc2nnc(NC(=O)NCc3cccnc3)s2)cc1
1,37,B,52481955,CC(C)c1cc(C(=O)NCCc2nc(-c3cccnc3)no2)nc2ncnn12
1,38,B,33506244,CN(C)C(=O)c1cnc2c(c1)nc(-c1ccccc1Cl)n2C
1,39,B,42686463,CN1C(=O)C(c2ccccc2)CC12CCN(Cc1cccc(C#N)c1)CC2
1,40,B,12735348,Cc1cn2cc(C(=O)NC(c3ccccc3)c3ccccn3)ccc2n1
1,41,B,44272539,COc1ccc(-c2cn3cc(C(=O)NCc4cnn(C)c4)nc3c(=O)n2C)c(F)c1
1,42,B,66353416,O=C(NCc1csc(-c2ncccn2)n1)c1csc(-c2cccs2)n1
1,43,B,75749435,N#Cc1cccc(N2CCN(C(=O)c3ccccc3-n3cncn3)CC2=O)c1
1,44,B,33947004,Cc1onc(C(=O)NCc2cnc3ccccc3c2)c1CO
1,45,B,DMSO,
1,46,B,DMSO,
1,47,B,DMSO,
1,48,B,DMSO,
1,1,C,DMSO,
1,2,C,DMSO,
1,3,C,DMSO,
1,4,C,DMSO,
1,5,C,39517102,COc1ccccc1-n1nc(CCSC)nc1Cn1cnc(C)c1C
1,6,C,90682436,Cn1nc(C(=O)N2CCn3nc(Cc4ccccc4)cc3C2)ccc1=O
1,7,C,15550860,CCn1cc(C(=O)N2CCc3c(nc(-c4ccccc4)nc3N(C)C)C2)cn1
1,8,C,83717555,COc1ccccc1Oc1ncccc1CNC(=O)c1cnc(N)nc1C
1,9,C,11170931,CCNc1ccnc(-c2ccccc2C(=O)N(C(C)C)C(C)C)n1
1,10,C,49237792,COc1ccc(C(C)(C)C)cc1NC(=O)NCC(N)=O
1,11,C,45804637,O=C(NCc1cc2n(n1)CCNC2)c1ccc(N2CCCC2=O)cc1
1,12,C,71755661,Cc1sc2ccccc2c1CN1CCN(C)C(CCO)C1
1,13,C,35904231,Cc1ccnc(CC(C)N(C)C(=O)Cn2nc(C)c3ccccc3c2=O)c1
1,14,C,72022234,CCn1ccnc1CN(C)C(=O)c1cc(-c2cnc(C)nc2)nc2cc(F)ccc12
1,15,C,97177086,CN(C)C(=O)c1ccc2c(c1)N(C)C(CC(=O)N1CCc3[nH]cnc3C1)CO2
1,16,C,76909863,O=C(c1cccc(O)c1)N1CCC2(CCC(=O)N(C3CC3)C2)CC1
1,17,C,93610213,CCc1nc(Cn2nc(C3CCNCC3)n(Cc3ccccc3)c2=O)no1
1,18,C,53740624,CC(=O)N1CC2(CCN(C(=O)c3cc(F)ccc3C)CC2)CC1C(=O)O
1,19,C,38324384,CC(C)c1cc(C(=O)N2CCOCC(CO)C2)c(O)c(C(C)C)c1
1,20,C,84563651,COc1nc2c(cc1CNC(=O)CN1CCCC1=O)C(=O)N(C1CCCC1)C2
1,21,C,13805437,CN(Cc1nc(-c2cccnc2)no1)C(=O)c1cn2cccnc2n1
1,22,C,43820222,CN1CCCCC1CCC(=O)N1CCN(CCc2ccccc2)C(=O)C1
1,23,C,77068133,COCC1(NC(=O)c2cc(-c3ccccc3)n(C)n2)CCCC1
1,24,C,61150460,CCc1cc2c(=O)n(Cc3nc4ccc(OC)cc4[nH]3)cnc2s1
1,25,C,25121623,Cc1cnc(C)c(N2CCN(c3nccc(-c4cccnc4)n3)CC2)n1
1,26,C,39174332,Cc1c(C(=O)N2CCCCC2c2ccc(F)cc2)[nH]c2ccccc12
1,27,C,51443124,Cc1cc(C(F)(F)F)nn1CCNC(=O)Cn1ncc2ccccc2c1=O
1,28,C,64798072,COc1ccc(C(C)NC(=O)c2ccccc2-n2cccn2)cc1F
1,29,C,42761192,CO[C@H]1C[C@@H](O)C12CCN(C(=O)c1ccc3ncccc3c1)CC2
1,30,C,61049075,O=C(NCCSc1cnn[nH]1)Nc1ccnn1C1CCCCC1
1,31,C,32525518,CCCCCNC(=O)CC1COc2ccc(C(=O)N(C)C)cc2N1C
1,32,C,39154465,CCCn1cc(C(=O)N2CCC3(CCOCC3)CC2)c(C)n1
1,33,C,17390466,O=C(CN1CCN(c2ncccn2)CC1)NCc1ccc2nonc2c1
1,34,C,76163925,O=C(C1CCCN(C2CCN(c3ncnc4[nH]ccc34)CC2)C1)N1CCCC1
1,35,C,43364613,COc1ccc(-c2ccc(C(=O)N3CCOCC3)cn2)c2ccc(C)nc12
1,36,C,44554530,COc1ccc2c(c1)OCC(C(=O)NCc1cnn3cccnc13)C2
1,37,C,78418213,Cc1nc(CNc2nccc(-c3cnn(-c4ccccc4)c3)n2)sc1C
1,38,C,17877313,CCN1CC2(CCCN(C(=O)c3ccc(-n4cnnc4)cc3)C2)CCC1=O
1,39,C,46327381,COc1ccc(F)c(-c2nc(COc3cccnc3N)c(C)o2)c1
1,40,C,43047536,CN1C(=O)N(C)C2(CCN(C(=O)C3CCOc4ccccc4C3)CC2)C1=O
1,41,C,74090101,CCn1c(C)ccc(C(=O)N2CC[C@@](C)(O)[C@@H](CC(C)C)C2)c1=O
1,42,C,58795303,Cc1cnc(C(=O)N(C)Cc2nc(-c3ccccn3)no2)cn1
